Name,Review,Overall Sentiment,Cast,Plot,Direction,Soundtrack,Acting,Cinematography
The Mandalorian,"It seems be a gift for the old fans of ""Star Wars"". a return to the origins, after the last films, too obvious having as target the new generations. In same measure, it is a brilliant example of the use for western recipe. And the couple of silent loner and baby Yoda works in beautiful way. The cinematography is great, the storytelling - well crafted. I admit- for me the basic source of seduction remains the presence of Wener Herzog in a role perfect for Klaus Kinski.",1,1,1,1,1,1,1
The Mandalorian,"If you are watching a Star Wars marathon in chronological order, place this series between episodes VI and VII. The New Republic is weak and the remnant of the empire have become warlords and mercenaries. The Mandalorian is also a legendary mercenary whose family was killed during the Droid War. He hates droids. In episode one he is to retrieve a live bounty that turns out to be a 50 year old baby Yoda. It would not be the real Yoda, but born while Yoda was still alive and about 900 years old. For the rest of the series he beats up folks who are after the baby Yoda and how this fits into anything is not clear. Typical Star Wars characters and it looks like before this is over, everyone in Hollywood will be a $100 autograph at a Star Wars convention. They also bring back HellBoy.",1,1,1,1,1,1,0
The Mandalorian,"Right, well yeah, I grew up on ""Star Wars"" and have been loving it ever since ""Star Wars Episode 4: A New Hope"", and I am still loving it today. So when ""The Mandalorian"" was announced, I was thrilled.And now having sat through the entire first season, I must say that I am impressed and I am entertained, and I am enjoying this tremendously. Creator Jon Favreau is definitely on to something here with this series; something that is as close to the original trilogy as it can be. And man, this is phenomenal.The storyline is interesting and has a good variety to it, so there is something for everybody, ranging from classic ""Star Wars"" action in terms of duels, gunfights, space combat, and such - you know what I mean here.And ""The Mandalorian"" offers a nice insight into the term of being a Mandalorian, as they have been fairly poorly portrayed for the average public and casual viewers, anyone not well-traversed in the universe of ""Star Wars"". I mean, this show made one of my friends come up and say to me, 'I thought Mandalorians were evil, but it is a way of living, a mentality, a creed'.The special effects in this TV series is good, but as if there ever were any doubts with Lucasfilm and Disney being behind the project. And it has that classic ""Star Wars"" feel to it, but with an added multiple layers. They managed to make it a tad more gritty and also have that classic Western feel to it. And it works marvelously in favor of the series.As for the main character, the Mandalorian, aka Dyn Jarren, well he is interesting, and there are some really nice qualities and touches to the character, and I must say that Pedro Pascal portrays the helmet main character quite well. While he is the main character, there is no doubt about the fact that the child - as the public dubbed 'baby Yoda' - has stolen the show. And what is not to like? He is so awesome, cute and he wields The Force. I liked the child from the very first time we saw him on the screen, and with each episode my liking has just grown and grown.""The Mandalorian"" plays on all the right buttons for a fan of the ""Star Wars"" universe, especially when they brought stormtroopers, scout troopers, death troopers and the TIE fighter into the series. That just felt right; it felt like coming home.Now, the series is not carried by Pedro Pascal alone, there are some nice acting performances by the likes of Carl Weathers, Werner Herzog, Gina Carano and Nick Nolte, to mention the most prominent of performers. They have a great cast, and people perform quite well, bringing the characters to life in this rich and vibrant universe.The props and costumes are spot on, and there are so many amazing details in every episode. This helped bring the ""Star Wars"" universe out on the screen in such a great way.I have seen every episode three or four times; the first time around for the storyline, then going back to watch it for the details. Plus, I must admit that the show is entertaining enough to support multiple viewings.This is certain winner for the ""Star Wars"" universe, and it was a much needed addition to the franchise. I am rating it a solid ten out of ten stars.",1,1,1,1,1,1,1
The Mandalorian,"I'm amazed at how going off track from the main Star Wars storyline has produced, arguably, better movies and shows. Sure, Baby Yoda aka Grogu, is adorable enough to make any warm-blooded person fall in love.""The Mandalorian"" is indispensable watching for anyone who even has a passing interest in ""Star Wars"" and the season two finale was the coup de grace.",1,1,1,1,1,1,-999
The Mandalorian,"After so many years of postponing I finally decided to watch all the Star Wars movies and so also this series. Since there are different ways to watch it I'm going for the chronological order and not the release date order, that just makes more sense to me. Maybe I watched a couple movies when I was young, I probably did, but I don't remember anything about it so to me it's all new and maybe one day I will understand the whole hype about the Star Wars saga. After watching The Phantom Menace, Attack Of The Clones, Revenge Of The Sith, Solo: A Star Wars Story, Rogue One, A New Hope, The Empire Strikes Back and Return Of The Jedi it's now time for The Mandalorian. It's supposed to be happening between Return Of The Jedi and The Force Awakens so it's only logical I watch it now. I do hope there will be much more seasons though as I just loved this show. Pedro Pascal is perfect as The Mandalorian. Each episode is quite short but very enjoyable to watch, certainly if you just watched all the other movies just before. It's a nice continuation of this saga. You can write whatever you want about the early movies in this saga, but the modern ones just beat them in everything, quality, acting, and technology, as so does this series. I binge watched the first season in 24 hours that's how good I thought it was. Next will be The Force Awakens but to be honest I can't wait to watch other seasons from The Mandalorian as it's for me the best thing in the whole Star Wars saga thus far.",1,1,1,1,1,1,1
The Mandalorian,"The Mandalorian Questions: Why does an expert bounty hunter who lives in his helmet need a monocular? Wouldn't his helmet be able to Robocop Zoom Vision? Also, why do droids need currency? And finally, why couldn't they make Episode VIII and Solo this good? This was only 39 minutes and was 10x more enjoyable than the last two Star Wars movies combined.Anyways, Episode I of THE MANDALORIAN (3½/5 Stars.) I have spoken.",1,1,1,1,1,1,0
The Mandalorian,"""The Mandalorian"" is one series that entertains with action and adventure and you can just feel the ""Star Wars"" atmosphere as the scenes and backdrops show the universe and many characters are noticeable set after the fall of the empire and before the rise of a new order in the republic the series follows the travels and life of one lone bounty hunter. The action and adventure keeps you glued and the discovery of one little cute pointy long eared green baby is a nice wild card and supporting theme for the series. Really good work from the ""Star Wars"" universe a must watch for the saga's fan base.",1,1,1,1,1,1,0
The Mandalorian,"There are a lot of impressive things about The Mandalorian, but what I love the most is the way it introduces fully three-dimensional characters with detailed backstories that are only hinted at in every episode, even though some are one-ofs and others only show up intermittently.That guy in the first episode who kept saying ""I have spoken,"" the love interest on that peaceful planet, that over-the-top knife thrower who knew Mando back in the day. You could spin any of them into a season's worth of episodes, but instead they're here and gone in a flash.That's how much work goes into each episode. This is detailed world, and yes, this world has been being built for decades which gives the series an advantage, but then, humans have been around for centuries and there are still lots of series with sketched-out characters.Also, first rate special effects, lots of exciting action, cool robots, mysterious hero with a personal code of honor that has a lot of gray areas, super cute critter with strange powers ... it's just all so good.If you like Star Wars, you definitely need to watch this. If you don't, watch it anyway, just to admire it's commitment to fleshing out its guest characters.",1,1,1,1,1,1,1
The Mandalorian,"Some good cinematography, other than that nothing about this show impressed me. and it did a horrendous job of getting me hooked or invested in the story. i was bored for most of the episode, and then the action scenes were just fine. i watched 4 episodes. i quit (1 viewing 1/2020)",1,1,1,1,1,1,1
Wonder Woman 1984,"It's 1984 in Washington, D.C. Diana Prince (Gal Gadot) fights crime as Wonder Woman. During the day, she works at the Smithsonian Institution where she befriends bumbling newcomer Barbara Minerva (Kristen Wiig). Diana is terribly lonely pining for lost love Steve Trevor (Chris Pine). The FBI needs Minerva to identify a stolen artifact which turns out to be a wishing stone. Diana wishes for Steve while Barbara wishes to be like Diana. Eager TV huckster Maxwell Lord (Pedro Pascal) has been searching for the stone and decides on an unusual wish.The movie feels too long. At two and a half hours, it's not the longest especially for a comic book movie. Nevertheless, it feels very long. While I like most of these premises, some of it could be cut back to speed things up. I don't really like Pascal hamming it up as a TV huckster. I'd rather have him be a simple Scrooge like figure. An evil businessman is a better foil. The actual businessman in the movie can be cut out. I'm also not sure about the logistics of the wishes. They need to be better thought out. A lot of this needs to be better thought out like the final turn. If the son is that final turn, he needs to be more prominent in his life. Overall, this movie just feels a little too long. Maybe it needs more jokes to pass the time. The action could be tightened. She could learn to fly quicker. Things could be done even if the running time remains the same.",0,1,-1,0,-999,0,0
